elof_vals	prophi_vals	logprob	prob
7.75	51	-95.8160546143294	2.44127218669768e-42
8	51	-95.4462321422083	3.53368686487585e-42
8.25	51	-95.7274044539157	2.66757401785773e-42
8.5	51	-94.6107079511604	8.14876151690472e-42
8.75	51	-95.5555117439016	3.16787862957999e-42
9	51	-94.635669166592	7.9478761271599e-42
9.25	51	-95.7725395284086	2.54984960077153e-42
9.5	51	-93.4363680473396	2.63694424925441e-41
9.75	51	-94.5867301411176	8.34651231375947e-42
10	51	-93.754517663299	1.91836094976502e-41
10.25	51	-94.0407165718345	1.44090622839679e-41
10.5	51	-94.0525059619847	1.42401856592172e-41
10.75	51	-93.7314857366232	1.96305724356023e-41
11	51	-92.8026787101089	4.96945463474004e-41
11.25	51	-93.0891018748214	3.73178599440712e-41
11.5	51	-92.0791009351689	1.02460050417503e-40
11.75	51	-92.4225235364323	7.26788462715483e-41
12	51	-92.7189510852499	5.40345048117465e-41
12.25	51	-92.0399712775178	1.06548750142538e-40
12.5	51	-91.4932583730949	1.8406989187922e-40
12.75	51	-92.2469164144978	8.66309802543222e-41
13	51	-91.8330920650975	1.31037277088859e-40
13.25	51	-91.3140332057534	2.20200985553099e-40
13.5	51	-90.7944885660541	3.7021552634937e-40
13.75	51	-91.47474591803	1.87509214409425e-40
14	51	-89.405114809153	1.48542929439962e-39
14.25	51	-89.8588949705445	9.43577908385829e-40
14.5	51	-90.1133002924942	7.31629042710683e-40
14.75	51	-89.478558998482	1.38024307958709e-39
15	51	-88.3664488372039	4.19699918247674e-39
15.25	51	-89.8432577313211	9.58448828913452e-40
15.5	51	-88.7418861705355	2.88329130604789e-39
15.75	51	-89.0858971003018	2.04402627399943e-39
16	51	-88.7828304056274	2.76762131751508e-39
16.25	51	-88.7724062926574	2.79662220645064e-39
16.5	51	-89.2059149666623	1.81285628616362e-39
16.75	51	-89.2936107955923	1.66064790622731e-39
17	51	-88.4937298451533	3.6953999211978e-39
17.25	51	-87.4704070763081	1.02821722951319e-38
17.5	51	-88.3470229638108	4.2793266093739e-39
17.75	51	-87.7137808201136	8.06100151831142e-39
18	51	-87.0233524400674	1.6078230058445e-38
18.25	51	-87.5788575383741	9.22540497224746e-39
18.5	51	-87.2640999185632	1.26381334561303e-38
18.75	51	-86.437570654715	2.88828493844073e-38
19	51	-86.5603991462721	2.55444348924265e-38
