gene_id	ensembl_gene_id	ensembl_gene_version	symbol	hgnc_id
ENSG00000180667.11	ENSG00000180667	11	YOD1	HGNC:25035
ENSG00000182795.13	ENSG00000182795	13	C1orf116	HGNC:28667
ENSG00000162897.16	ENSG00000162897	16	FCAMR	HGNC:24692
ENSG00000162896.6	ENSG00000162896	6	PIGR	HGNC:8968
ENSG00000162894.12	ENSG00000162894	12	FCMR	HGNC:14315
ENSG00000162892.16	ENSG00000162892	16	IL24	HGNC:11346
ENSG00000162891.11	ENSG00000162891	11	IL20	HGNC:6002
ENSG00000142224.18	ENSG00000142224	18	IL19	HGNC:5990
ENSG00000136634.7	ENSG00000136634	7	IL10	HGNC:5962
ENSG00000162889.11	ENSG00000162889	11	MAPKAPK2	HGNC:6887
ENSG00000143479.18	ENSG00000143479	18	DYRK3	HGNC:3094
ENSG00000143486.16	ENSG00000143486	16	EIF2D	HGNC:6583
ENSG00000266094.8	ENSG00000266094	8	RASSF5	HGNC:17609
ENSG00000263528.8	ENSG00000263528	8	IKBKE	HGNC:14552
ENSG00000266028.8	ENSG00000266028	8	SRGAP2	HGNC:19751
ENSG00000196550.11	ENSG00000196550	11	FAM72A	HGNC:24044
ENSG00000198049.7	ENSG00000198049	7	AVPR1B	HGNC:896
ENSG00000263961.8	ENSG00000263961	8	RHEX	HGNC:25341
ENSG00000196188.12	ENSG00000196188	12	CTSE	HGNC:2530
ENSG00000276600.5	ENSG00000276600	5	RAB7B	HGNC:30513
ENSG00000174502.19	ENSG00000174502	19	SLC26A9	HGNC:14469
ENSG00000162877.13	ENSG00000162877	13	PM20D1	HGNC:26518
ENSG00000133065.11	ENSG00000133065	11	SLC41A1	HGNC:19429
ENSG00000117280.13	ENSG00000117280	13	RAB29	HGNC:9789
ENSG00000069275.13	ENSG00000069275	13	NUCKS1	HGNC:29923
ENSG00000158715.6	ENSG00000158715	6	SLC45A3	HGNC:8642
ENSG00000158711.14	ENSG00000158711	14	ELK4	HGNC:3326
ENSG00000174514.13	ENSG00000174514	13	MFSD4A	HGNC:25433
ENSG00000117266.16	ENSG00000117266	16	CDK18	HGNC:8751
ENSG00000281406.2	ENSG00000281406	2	BLACAT1	HGNC:48597
ENSG00000186007.10	ENSG00000186007	10	LEMD1	HGNC:18725
ENSG00000162873.15	ENSG00000162873	15	KLHDC8A	HGNC:25573
ENSG00000163545.11	ENSG00000163545	11	NUAK2	HGNC:29558
ENSG00000133069.17	ENSG00000133069	17	TMCC2	HGNC:24239
ENSG00000133059.17	ENSG00000133059	17	DSTYK	HGNC:29043
ENSG00000117222.14	ENSG00000117222	14	RBBP5	HGNC:9888
ENSG00000174529.7	ENSG00000174529	7	TMEM81	HGNC:32349
ENSG00000184144.12	ENSG00000184144	12	CNTN2	HGNC:2172
ENSG00000163531.17	ENSG00000163531	17	NFASC	HGNC:29866
ENSG00000170382.12	ENSG00000170382	12	LRRN2	HGNC:16914
ENSG00000198625.14	ENSG00000198625	14	MDM4	HGNC:6974
ENSG00000133056.14	ENSG00000133056	14	PIK3C2B	HGNC:8972
ENSG00000158615.10	ENSG00000158615	10	PPP1R15B	HGNC:14951
ENSG00000143850.16	ENSG00000143850	16	PLEKHA6	HGNC:17053
ENSG00000174567.8	ENSG00000174567	8	GOLT1A	HGNC:24766
ENSG00000170498.10	ENSG00000170498	10	KISS1	HGNC:6341
ENSG00000143839.15	ENSG00000143839	15	REN	HGNC:9958
ENSG00000143845.15	ENSG00000143845	15	ETNK2	HGNC:25575
ENSG00000143842.15	ENSG00000143842	15	SOX13	HGNC:11192
ENSG00000182004.13	ENSG00000182004	13	SNRPE	HGNC:11161
ENSG00000058673.17	ENSG00000058673	17	ZC3H11A	HGNC:29093
ENSG00000257315.4	ENSG00000257315	4	ZBED6	HGNC:33273
ENSG00000122188.13	ENSG00000122188	13	LAX1	HGNC:26005
ENSG00000058668.15	ENSG00000058668	15	ATP2B4	HGNC:817
ENSG00000188770.10	ENSG00000188770	10	OPTC	HGNC:8158
ENSG00000188783.6	ENSG00000188783	6	PRELP	HGNC:9357
ENSG00000122176.12	ENSG00000122176	12	FMOD	HGNC:3774
ENSG00000159388.6	ENSG00000159388	6	BTG2	HGNC:1131
ENSG00000133063.16	ENSG00000133063	16	CHIT1	HGNC:1936
ENSG00000133048.13	ENSG00000133048	13	CHI3L1	HGNC:1932
ENSG00000133055.10	ENSG00000133055	10	MYBPH	HGNC:7552
ENSG00000163485.17	ENSG00000163485	17	ADORA1	HGNC:262
ENSG00000122180.5	ENSG00000122180	5	MYOG	HGNC:7612
ENSG00000143847.16	ENSG00000143847	16	PPFIA4	HGNC:9248
ENSG00000163444.12	ENSG00000163444	12	TMEM183A	HGNC:20173
ENSG00000159348.13	ENSG00000159348	13	CYB5R1	HGNC:13397
ENSG00000159346.13	ENSG00000159346	13	ADIPOR1	HGNC:24040
ENSG00000117153.16	ENSG00000117153	16	KLHL12	HGNC:19360
ENSG00000183155.5	ENSG00000183155	5	RABIF	HGNC:9797
ENSG00000117139.18	ENSG00000117139	18	KDM5B	HGNC:18039
ENSG00000143858.12	ENSG00000143858	12	SYT2	HGNC:11510
ENSG00000077157.22	ENSG00000077157	22	PPP1R12B	HGNC:7619
